#
# SKA1-low central configurations
# This is using the central stations for short baseline calibration.
# Only the central stations have been filtered here.
#
# * Core: area 1000 m in diameter, within which the individual stations
#   are randomly located with no overlap
# * Central: area 1700 m in radius
# * Cluster: a group of 6 stations placed randomly around a cluster
#   location, only defined for stations outside the core area
# * Individual stations will be 35-45 m in diameter
# * Each station has 256 antenna elements randomly placed
# * Total 512 stations; total 131,072 antenna elements
# * 3 arms with each arm of the spiral will contain 16 clusters
# * WGS84 Positions of SKA1-low Stations
#
# Note:
# WGS84 is an Earth-centred, Earth-fixed terrestrial reference system
# and geodetic datum
#
# Reference:
# SKA-TEL-SKO-0000422, revision 02, 2016-05-31, Table 1
# http://astronomers.skatelescope.org/wp-content/uploads/2016/09/SKA-TEL-SKO-0000422_02_SKA1_LowConfigurationCoordinates-1.pdf
#
# Array center: 116.7644482 , -26.82472208
#
Label	Longitude	Latitude
C82	116.7631213	-26.82666532
C83	116.7672825	-26.82346752
C84	116.7627999	-26.82644619
C85	116.7664591	-26.82314495
C86	116.7635966	-26.82688522
C87	116.7621415	-26.8254654
C88	116.764998	-26.82695038
C89	116.7629746	-26.82285708
C90	116.7615335	-26.82422313
C91	116.7627927	-26.82686624
C92	116.7617537	-26.82455842
C93	116.7632495	-26.82217299
C94	116.7672552	-26.82585337
C95	116.7621609	-26.82416921
C96	116.761874	-26.82327722
C97	116.7653964	-26.82272323
C98	116.7671022	-26.82427994
C99	116.7656369	-26.82703905
C100	116.7656085	-26.82629731
C101	116.763807	-26.82221824
C102	116.7634192	-26.82276293
C103	116.7668948	-26.82564607
C104	116.7661372	-26.82255359
C105	116.7640186	-26.82263542
C106	116.7621211	-26.82296638
C107	116.7668842	-26.82385968
C108	116.7622668	-26.82505449
C109	116.7658279	-26.82239906
C110	116.7649912	-26.82236118
C111	116.7626226	-26.82598492
C112	116.7645539	-26.82694785
C113	116.7633663	-26.82718924
C114	116.7622453	-26.82341098
C115	116.7616692	-26.82577828
C116	116.7628237	-26.82354014
C117	116.7660285	-26.82622295
C118	116.7642422	-26.82201412
C119	116.7667019	-26.82340513
C120	116.7665894	-26.82535037
C121	116.7621203	-26.82373723
C122	116.7645773	-26.82234715
C123	116.7662301	-26.82342668
C124	116.7672749	-26.82481892
C125	116.7624309	-26.82653613
C126	116.766926	-26.82617013
C127	116.7620173	-26.82651026
C128	116.7622932	-26.82623597
C129	116.7617214	-26.82541223
C130	116.7640445	-26.82718983
C131	116.7667126	-26.82415317
C132	116.7661493	-26.82672156
C133	116.7668224	-26.82295559
C134	116.7653755	-26.82224409
C135	116.7616432	-26.82507543
C136	116.7675196	-26.82533617
C137	116.7626337	-26.82301075
C138	116.7647103	-26.82190813
C139	116.7631223	-26.82255216
C140	116.7622778	-26.8258963
C141	116.7668197	-26.82653546
C142	116.7642399	-26.82680215
C143	116.7661542	-26.82704072
C144	116.7674227	-26.82443615
C145	116.7666547	-26.82590629
C146	116.7661875	-26.82288295
C147	116.7669636	-26.82463374
C148	116.7644075	-26.82266232
C149	116.7664854	-26.82271089
C150	116.7665177	-26.82374226
C151	116.7613343	-26.82451061
C152	116.7612312	-26.82550191
C153	116.7686378	-26.82529022
C154	116.7605929	-26.82579734
C155	116.7650951	-26.82117971
C156	116.7653222	-26.8280368
C157	116.7627565	-26.82784591
C158	116.764037	-26.82792142
C159	116.7683599	-26.82601356
C160	116.7609995	-26.82640912
C161	116.7640259	-26.82096612
C162	116.7618694	-26.8227134
C163	116.7676604	-26.82675263
C164	116.7665496	-26.82770799
C165	116.7686127	-26.82458774
C166	116.7653518	-26.82141498
C167	116.7659312	-26.82734683
C168	116.7610827	-26.82372739
C169	116.7677769	-26.82592112
C170	116.7609614	-26.82337974
C171	116.7661936	-26.82755908
C172	116.7658204	-26.82776267
C173	116.7645573	-26.82851292
C174	116.767146	-26.8269159
C175	116.7627073	-26.82148846
C176	116.7613301	-26.82291113
C177	116.7634317	-26.82799351
C178	116.7611987	-26.82487698
C179	116.7644733	-26.82135602
C180	116.7677047	-26.8235112
C181	116.7677574	-26.82414156
C182	116.7613807	-26.82344169
C183	116.766763	-26.82156738
C184	116.7623196	-26.82792623
C185	116.7618808	-26.82684172
C186	116.7611495	-26.82416534
C187	116.7678962	-26.82551428
C188	116.7682371	-26.82470261
C189	116.7680438	-26.8233971
C190	116.7685012	-26.8241408
C191	116.7648745	-26.82773344
C192	116.7614764	-26.82718221
C193	116.7637109	-26.82115804
C194	116.7622888	-26.82736392
C195	116.7665419	-26.8218194
C196	116.7670628	-26.82233543
C197	116.7645424	-26.82761733
C198	116.7682532	-26.82523962
C199	116.7610607	-26.82257748
C200	116.766963	-26.82528073
C201	116.7634067	-26.82842181
C202	116.7637098	-26.827613
C203	116.760337	-26.8246924
C204	116.7652939	-26.8283618
C205	116.7608787	-26.82458576
C206	116.7653751	-26.82768902
C207	116.7659601	-26.82093591
C208	116.7655451	-26.82080717
C209	116.7660134	-26.82141401
C210	116.765662	-26.8215957
C211	116.7656703	-26.82117011
C212	116.7663145	-26.82120899
C213	116.7600867	-26.82541986
C214	116.7607958	-26.82543758
C215	116.7602056	-26.82500971
C216	116.7600324	-26.8258537
C217	116.7597561	-26.8256036
C218	116.7605133	-26.82521484
C219	116.767651	-26.8278177
C220	116.7672891	-26.82765479
C221	116.7673298	-26.82721763
C222	116.766967	-26.82782358
C223	116.7675715	-26.82745917
C224	116.7668773	-26.82748782
E1-1	116.7627663	-26.82017705
E1-2	116.7624285	-26.81991547
E1-3	116.7627393	-26.81976351
E1-4	116.7621333	-26.81972558
E1-5	116.7629951	-26.81950173
E1-6	116.7624133	-26.81922925
E2-1	116.7575812	-26.82106002
E2-2	116.7571411	-26.82075518
E2-3	116.7582742	-26.82063137
E2-4	116.7576853	-26.82062054
E2-5	116.7572467	-26.82034479
E2-6	116.7579644	-26.82030267
E3-1	116.7530506	-26.82574525
E3-2	116.7534118	-26.8257181
E3-3	116.7525791	-26.82539971
E3-4	116.7533349	-26.82533874
E3-5	116.7529682	-26.82530981
E3-6	116.7530614	-26.82497726
E4-1	116.7520466	-26.83431587
E4-2	116.7524497	-26.83423445
E4-3	116.7524928	-26.83386187
E4-4	116.7528935	-26.8337915
E4-5	116.7519148	-26.83370172
E4-6	116.7522365	-26.83333486
N1-1	116.7601497	-26.82900989
N1-2	116.7606991	-26.82898023
N1-3	116.7610568	-26.82891341
N1-4	116.7604849	-26.8287265
N1-5	116.7608437	-26.82863455
N1-6	116.7602443	-26.82831962
N2-1	116.7642049	-26.8323567
N2-2	116.7634234	-26.8323525
N2-3	116.7637745	-26.83221191
N2-4	116.7634227	-26.83203244
N2-5	116.7641982	-26.83189926
N2-6	116.763739	-26.83178841
N3-1	116.771122	-26.83354856
N3-2	116.7707261	-26.83354453
N3-3	116.7702908	-26.83336839
N3-4	116.7708843	-26.83325587
N3-5	116.770381	-26.83298091
N3-6	116.7709195	-26.83279833
N4-1	116.7793212	-26.83009728
N4-2	116.7791814	-26.82979154
N4-3	116.7795292	-26.82971812
N4-4	116.7788501	-26.82946553
N4-5	116.7795128	-26.82936374
N4-6	116.7791201	-26.82908633
S1-1	116.7703631	-26.82615138
S1-2	116.7699892	-26.82591782
S1-3	116.7696118	-26.82585567
S1-4	116.7703549	-26.82583525
S1-5	116.7700985	-26.82545142
S1-6	116.7704838	-26.82537765
S2-1	116.772083	-26.82189476
S2-2	116.7714744	-26.82176823
S2-3	116.7718145	-26.82163965
S2-4	116.7712388	-26.82140139
S2-5	116.7721587	-26.82131996
S2-6	116.7718594	-26.82104472
S3-1	116.769971	-26.81601882
S3-2	116.7696285	-26.81562856
S3-3	116.7690852	-26.81555426
S3-4	116.7701158	-26.81550478
S3-5	116.7692767	-26.81523649
S3-6	116.7697275	-26.81514361
S4-1	116.7618649	-26.81117181
S4-2	116.7613392	-26.81110183
S4-3	116.7621652	-26.81092563
S4-4	116.7616863	-26.81074688
S4-5	116.7618862	-26.8104525
S4-6	116.7613224	-26.81043869
